Location,SubReg,Country,lat,long,NotStart6,Pop6,NotECCE3_5, Pop3_5,NotSch3_6,PerNot3_6,OutSch6_12 ,Pop6_12,OutSch13_17, Pop13_17,SchLeave6_17, PerSchLv6_17 ,NEET18_30N,NEET18_30P ,NEET15_24N ,NEET15_24P,Subsistence Economy,GridElec, OpenDefec,HH_Num,TotPop,MobOwnTot, HH_TV,HlthInsur
Arua,Westnile,Uganda,2.86903,30.99749,2337,4693,11637,14642,13974,72.3,10868,30964,8596,20086,19464,38.1,21995,58.5,17384,50.9,18276,1018,3681,35370,159722,3866,2545,535
Arua City,Westnile,Uganda,3.03258,30.91896,5201,10877,22132,32684,27333,62.7,19521,73079,19460,54022,38981,30.7,54069,55.9,43609,48.2,22481,15994,2701,78619,384656,22512,15799,3433
Budaka,Bukedi,Uganda,1.0158418,33.9490661,4475,7945,18616,25985,23091,68.1,13327,51809,9902,35786,23229,26.5,40789,64.2,28493,46.4,27460,4447,1830,52360,281537,5728,5088,854
Bududa,Bugisu,Uganda,1.02847,34.40867,4798,7962,17439,26876,22237,63.8,15338,47723,11538,31220,26876,34,40030,57.1,29410,47.5,35690,4243,2144,75751,268970,10503,6265,1374
Bugiri,Busoga,Uganda,0.5651366,33.7518189,9044,14820,30394,46530,39438,64.3,25507,96097,22388,61295,47895,30.4,67192,66.8,52470,53.8,43983,11923,6104,94209,480345,11420,12691,1387
Bugweri,Busoga,Uganda,0.62651,33.61318,3945,6697,12425,20522,16370,60.1,11126,44731,8941,27579,20067,27.8,26399,60.2,20541,48,16508,10927,2165,46584,211511,7089,8167,922
Buhweju,Ankole,Uganda,-0.3203212,30.31620543,3022,4075,6261,12965,9283,54.5,7898,29778,7563,19736,15461,31.2,11787,37.1,9459,31.6,11301,1565,861,35305,167921,3122,4217,520
Buikwe,Buganda,Uganda,0.3438677,33.0302137,9837,15235,19649,46862,29486,47.5,18433,100328,18067,64827,36500,22.1,57621,47.9,43246,40.1,27720,60251,3122,137920,520158,37861,48786,4045
Bukedea,Teso,Uganda,1.347405,34.044521,3628,9167,21596,27994,25224,67.9,12455,59152,9106,36901,21561,22.4,37260,60,26920,43.7,29240,3177,7523,55960,282864,6590,3312,811
Bukomansimbi,Buganda,Uganda,-0.1673291,31.6197672,3439,5588,7989,17140,11428,50.3,7336,37709,8272,26643,15608,24.3,15874,41,13205,33,10268,6930,616,41689,197568,8580,11699,789
Bukwo,Sebei,Uganda,1.2890215,34.7410148,1370,3446,6269,10649,7639,54.2,5004,23469,4311,14914,9315,24.3,12267,49.2,9135,38.5,9327,794,1874,23221,114396,3951,2671,435
Bulambuli,Bugisu,Uganda,1.47217,34.31645,2956,5293,9169,16643,12125,55.3,6991,34052,7122,26444,14113,23.3,28839,49,18800,37.3,23577,2424,2878,55103,235391,10251,4458,930
Buliisa,Bunyoro,Uganda,2.1180255,31.4115209,3488,5496,13836,16978,17324,77.1,14230,34546,10153,21002,24383,43.9,24929,64.7,20806,58.5,12252,1070,5372,32798,167894,4152,2676,520
Bundibugyo,Rwenzori,Uganda,0.7074204,30.0638456,5647,8124,14070,25057,19717,59.4,14801,53627,13392,35335,28193,31.7,31108,49.8,24443,42.8,19911,8661,1290,58755,264778,12421,9622,1621
Bunyangabu,Tooro,Uganda,0.47841935,30.20276989,3491,6043,9968,19254,13459,53.2,9468,40902,9470,26683,18938,28,18760,47.1,15050,39.3,15695,5738,898,48988,219012,7742,8384,798
Bushenyi,Ankole,Uganda,-0.5409995,30.1887749,3677,6419,6453,19838,10130,38.6,7090,44520,9340,35676,16430,20.5,23930,36.7,17076,28.3,16304,20472,518,69236,283392,20872,19505,2621
Busia,Bukedi,Uganda,0.4675812,34.0904896,6356,11705,20052,37727,26408,53.4,14662,79019,15368,52540,30030,22.8,57561,59.9,44216,48.7,35762,19933,4857,93582,412671,19670,21762,1615
Butaleja,Bukedi,Uganda,0.9167711,33.9601383,5406,10605,25982,33487,31388,71.2,17352,68565,11760,40395,29112,26.7,40531,63.5,30270,47.8,34561,3424,6604,65776,312771,4989,4746,904
Butambala,Buganda,Uganda,1.0966308,33.4737508,2766,4297,5654,12972,8420,48.8,6583,29217,5560,18153,12143,25.6,12153,48.6,9619,38.3,7959,11811,520,31208,146516,6585,10202,381
Butebo,Bukedi,Uganda,1.1923861,33.8904092,3062,5474,12379,18055,15441,65.6,7812,34743,5417,21349,13229,23.6,23139,59.2,16273,43.9,20579,1185,891,39318,171433,3727,2246,950
Buvuma,Buganda,Uganda,0.23501,33.27431,2491,3384,6332,11023,8823,61.2,5547,20436,3926,10629,9473,30.5,12874,54.5,9231,49.5,16296,96,21675,35410,110832,3331,4581,372
Buyende,Busoga,Uganda,0.32501,33.27431,9975,13806,26789,41372,36764,66.6,26031,89389,19311,51549,45342,32.2,52288,62.7,40767,51.2,39186,2106,5513,83497,403486,6292,7081,1098
Dokolo,Lango,Uganda,1.9174324,33.1717366,3668,6184,13235,19969,16903,64.6,9867,40717,9153,27443,19020,27.9,29720,61.4,23170,49.8,23761,775,3105,49019,215625,3970,2476,837
Fort Portal City,Tooro,Uganda,0.6561907,30.2779432,1006,2926,3560,9093,4566,38,3120,19346,5739,17341,8859,24.1,14729,40.2,11336,34.5,4053,18928,307,33525,137549,20321,14269,1882
Gomba,Buganda,Uganda,0.20426635,31.72917717,4444,6265,9019,19524,13463,52.2,8634,40514,7674,24195,16308,25.2,18907,48.3,14628,40,15726,7682,1693,49611,199120,7676,11530,664
Gulu,Acholi,Uganda,3.01474,32.38187,2020,3594,8017,11071,10037,68.4,6919,24353,6150,16554,13069,31.9,19735,63.6,15498,52.6,16092,202,2699,28213,135373,3260,1987,642
Gulu City,Acholi,Uganda,2.76167,32.29829,2342,5439,7053,17348,9395,41.2,6436,36613,8126,28871,14562,22.2,30530,43.9,23122,39,8985,21202,481,61139,233271,37317,21611,5372
Hoima,Bunyoro,Uganda,1.60134,31.25851,4398,8047,16807,25416,21205,63.4,13864,50625,12378,29732,26242,32.7,31690,54.4,25080,48.7,25462,4322,5037,62267,257544,7591,9186,1342
Hoima City,Bunyoro,Uganda,1.40932,31.34636,1156,3751,5126,11502,6282,41.2,3506,23369,5283,16296,8789,22.2,14913,39.6,11279,36,4240,22224,622,41773,143304,18007,18395,1928
